County,PCTOBAMA,Votes Obama,Pop2010,PopChange,PopPerSqMile,PctWhite,PctBlack,PctAmericanIndian,PctAsian,PctHisp,DiversityIndex,HousingUnits,PctVacant,pct_Uninsured,HS_grad_rate,post_sec_edu,pct_unemployed
Stokes,0.28,5969,47401,0.06,105.6,0.93,0.04,0,0,0.03,16,21924,0.11,18,82,44.1,10.5
Surry,0.31,9005,73673,0.03,138.4,0.88,0.04,0,0.01,0.1,27.4,33667,0.11,20,79,49.7,12.1
Swain,0.46,2618,13981,0.08,26.5,0.67,0.01,0.27,0.01,0.04,51.1,8723,0.35,26,71,62,11.3
Transylvania,0.41,6740,33090,0.13,87.4,0.92,0.04,0,0,0.03,17.2,19163,0.25,22,84,55.3,9
Tyrrell,0.47,835,4407,0.06,11.3,0.55,0.38,0,0.02,0.05,57.1,2068,0.23,29,58,31.8,10.3
Union,0.34,32032,201292,0.63,318.7,0.79,0.12,0,0.02,0.1,42.1,72870,0.07,21,85,60.3,10.3
Vance,0.64,13286,45422,0.06,179.2,0.44,0.5,0,0,0.07,58,20082,0.13,17,71,42.9,13.1
Wake,0.55,286939,900993,0.44,1078.8,0.66,0.21,0.01,0.05,0.1,56.1,371836,0.07,19,83,76.2,8.4
Warren,0.68,6635,20972,0.05,48.9,0.39,0.52,0.05,0,0.03,58.4,11806,0.3,20,71,38.7,12.5
Washington,0.59,3811,13228,-0.04,38,0.46,0.5,0,0,0.04,54.9,6491,0.15,16,80,48.2,11.2
Watauga,0.48,13371,51079,0.2,163.4,0.95,0.02,0,0.01,0.03,14.5,32137,0.37,29,82,67.3,7.5
Wayne,0.45,23154,122623,0.08,221.7,0.59,0.31,0,0.01,0.1,58.8,52949,0.1,20,76,54.9,9
Wilkes,0.28,8089,69340,0.06,91.9,0.91,0.04,0,0,0.05,21,33065,0.14,19,77,46.9,12.2
Wilson,0.53,20745,81234,0.1,220.6,0.52,0.39,0,0.01,0.1,60.2,35511,0.1,20,67,49.4,12.1
Yadkin,0.24,3928,38406,0.06,114.7,0.89,0.03,0,0,0.1,25.8,17341,0.11,23,78,46.5,10.3
Yancey,0.42,3954,17818,0,57,0.95,0.01,0,0,0.05,13.2,11032,0.31,24,77,44.9,11.7
